,Drug,Correlation,P-value,CCLE_model_state,State_description,Salient_representative_genes
21,thalidomide,-0.0069186365513709686,0.9870279704328029,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
22,gossypol,-0.07719831026753482,0.7607730645331223,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
23,chlorambucil,-0.04914547228792348,0.8464469918779304,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
24,5-fluorouracil,0.18551272369914196,0.47593722864264587,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
25,ML083,-0.13788810681249963,0.5976694054614559,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
26,CID-5951923,0.23726633129337302,0.3591690344676762,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
27,azacitidine,0.3124047032206524,0.20689552681127987,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
28,trifluoperazine,-0.05034627922696649,0.8642850642198294,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
29,paclitaxel,-0.0015951517316280023,0.9951521141140836,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
30,tamoxifen,0.26617666889366126,0.3017622014098408,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
31,carboplatin,-0.12941101838853017,0.6087988526402146,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
32,IU1,-0.17842165715276226,0.49325139775522975,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
33,dexamethasone,0.3790113139175425,0.16356121699751114,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
34,teniposide,0.37946435301974035,0.35385425797291703,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
35,sildenafil,-0.1448792580592262,0.5790359859008897,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
36,simvastatin,0.21961032119407528,0.4316144528226679,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
