,Drug,Correlation,P-value,CCLE_model_state,State_description,Salient_representative_genes
424,rigosertib,-0.07281319689480692,0.7887130561435498,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
425,AT7867,-0.07114715796701909,0.7934489721473008,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
426,PD-318088,0.37146213892272356,0.12907656394461844,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
427,KU-60019,-0.0720691296084761,0.7762711938104938,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
428,doramapimod,-0.07010850889656291,0.7964048952892567,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
429,KW-2449,0.1713973091465413,0.5106951543008881,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
430,RAF265,0.0068543745470825805,0.9840424550792826,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
431,CX-4945,0.5067916421607065,0.03788000216606165,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
432,BRD-K03911514,-0.5703112006513043,0.13991200109213311,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
433,cyt387,0.08279636077331003,0.7520645767933549,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
434,idelalisib,-0.38978487041012255,0.12195213355541361,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
435,WP1130,-0.017554382863594214,0.9448821898431599,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
436,OSI-027,-0.14285954613694857,0.5717318283482178,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
437,NVP-BSK805,-0.09012489552438022,0.7308528285747442,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
438,erlotinib:PLX-4032,0.025391684533181916,0.9284274628545112,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
439,PIK-93,0.3495023127761621,0.1845359538718585,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
440,AZD7762,-0.34615117852871374,0.15939437463458825,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
441,birinapant,-0.054883854419601204,0.8287555242218954,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
442,KX2-391,-0.028345234993295373,0.9170076909311748,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
443,3-Cl-AHPC,0.012963628529417688,0.9592830822105154,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
444,BRD-K27188169,-0.33573345528562765,0.37707903604926546,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
445,KHS-101,0.18727449993851228,0.4568041864946977,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
446,WAY-362450,-0.09779544764236142,0.7088471882063212,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
447,JQ-1:vorinostat,-0.01904799463820804,0.9441800367609292,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
448,cabozantinib,-0.14193359634145813,0.586857204326251,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
449,crizotinib:PLX-4032,0.10481133586045491,0.6992715598341525,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
450,BRD-M00053801,0.17198914353300568,0.6130887568014468,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
451,KPT-185,0.17521073948899585,0.5859858384506925,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
452,pitstop2,0.3880592725134134,0.26781705454946064,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
453,R-428,0.28767962865107727,0.4528717078256999,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
454,ibrutinib,0.1400757128076006,0.681230782025042,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
455,sotrastaurin,0.7438951024797488,0.008668930937957908,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
456,A-804598,-0.07751017504377522,0.8107720376714589,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
457,BRD-K27188169:navitoclax,0.41617722220181375,0.2652054343538779,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
458,COL-3,0.19524113085468744,0.5431215058233354,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
459,venetoclax,0.49225113874356735,0.17825987688682504,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
460,ETP-46464,0.7322511935479774,0.00677000680189832,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
461,marinopyrrole A,0.48159743642405867,0.11289542586255788,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
462,methylstat,-0.1953012485545742,0.5429948669769478,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
463,alpelisib,0.46877950674816343,0.1458229555521905,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
464,GSK2636771,0.22868232789847712,0.4746664377293616,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
465,JW-74,0.021190588013064907,0.953666398146076,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
466,necrosulfonamide,-0.09539273284610002,0.7802475400564232,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
467,HBX-41108,-0.03763862728934709,0.9075484284875044,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
468,palmostatin B,0.03721488535245922,0.9134958038301395,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
469,BRD-K03536150,0.006915173261309203,0.9789858971578229,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
470,BRD-K99006945,0.08800663364075141,0.8218674932345128,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
471,tivantinib,-0.11558164528312853,0.7671445650762773,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
472,trametinib,0.344250173356212,0.3643168071554566,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
473,RG4733,-0.2553954882331709,0.5071695700627441,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
474,dinaciclib,-0.2362096390475655,0.5406135689187528,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
475,MLN2480,0.1314784830057593,0.7359827312522421,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
476,BRD-K51831558,-0.15086660613709796,0.7213880979189892,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
477,istradefylline,0.17342578838185047,0.6554354946734673,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
478,MI-2,0.5777871512406294,0.10322904277144211,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
479,alvocidib,-0.3668174626629913,0.37142321566161474,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
480,CBB-1007,0.4540714765921743,0.2195322307119721,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
481,BRD-A86708339,-0.21658257878135576,0.575666803425797,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
482,PF-03758309,0.27969755961852294,0.4660556360489896,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
483,dabrafenib,0.2421675130907543,0.5301385528511682,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
484,SZ4TA2,0.38373293905562833,0.3079483697045788,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
485,AT13387,-0.23397281328462863,0.5445666303195479,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
486,BCL-LZH-4,0.3777364073447155,0.3162067685617635,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
487,skepinone-L,0.34531939177069276,0.3627293998863073,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
488,BRD-K34222889,-0.294229402762719,0.23595695069080277,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
489,PF-4800567,0.2231263802929636,0.5638889572096346,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
490,avicin D,-0.12241582216324766,0.7727531226940049,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
491,linsitinib,0.4402725352185954,0.08787912967696618,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
492,AT-406,0.4685080633914942,0.20336189577594768,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
493,ML031,0.23641037336845475,0.37803369375242846,F0,partial-EMT & NOTCH signaling,"['ELF3', 'GRHL2', 'CLDN4', 'DSP', 'CGN', 'DSC2', 'ALDH1A3', 'JAG2', 'NOTCH1', 'HES4', 'HEY2', 'NOTCH2', 'NOTCH3']"
494,CIL56,-0.11008502580770406,0.7779891133272141,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
495,FQI-1,-0.22986587449176413,0.5518531434156762,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
496,BRD-K92856060,0.04577902115568237,0.8568589436904458,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
497,B02,-0.21550187856402353,0.4228024436616369,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
498,BRD6340,-0.4736339367024233,0.05479694992890543,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
499,BRD-K45681478,0.04268095341274664,0.8707964243787756,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
500,ML050,0.11274889173087133,0.6665814403341472,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
501,ML162,-0.26730603094180366,0.29963783538785826,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
502,CIL41,0.28227583377923365,0.4617793910841783,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
503,ML006,-0.0936322930153544,0.7117232150420818,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
504,CIL55,0.05226316488458409,0.9021848616399736,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
505,NSC30930,-0.4143030439833029,0.09825310113078391,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
506,Bax channel blocker,0.09930990450265634,0.7144225196412327,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
507,CIL70,-0.14091643619745553,0.7176354845133509,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
508,MI-1,-0.07368172808695775,0.7862468886732752,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
509,BRD9876,0.15475771875462901,0.5671305823418099,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
510,DBeQ,-0.26055998434261823,0.3124602312706638,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
511,mdivi-1,0.6127937487318211,0.008912562986225645,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
512,tretinoin,-0.12094152273630289,0.6438117877209528,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
513,betulinic-acid,0.4459469430292813,0.08339578262718916,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
514,phloretin,-0.5347650389090247,0.03282099292172002,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
515,thalidomide,-0.6454527572737783,0.08389299018151876,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
516,gossypol,-0.3535488265154215,0.15007436333096932,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
517,chlorambucil,-0.035191166075253126,0.8897450020345095,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
518,5-fluorouracil,0.06181727506335326,0.8136734964085186,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
519,ML083,-0.3949492167905925,0.11665740818862845,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
520,CID-5951923,-0.14791606015697134,0.5710190508912902,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
521,azacitidine,-0.15636433175904285,0.5355199580653336,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
522,trifluoperazine,0.11383730314075499,0.6983920466249917,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
523,paclitaxel,-0.20468299125417347,0.4306701166607576,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
524,tamoxifen,-0.025169583497065523,0.9236106326469039,F1,MYC-high & EMT & hypoxia | glycolysis,"['MYC', 'TGFBI', 'SNAI2', 'MMP2', 'FN1', 'CDH2', 'VIM', 'GSTP1', 'LDHB']"
