gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,total_TNBC_dist_in_cluster
LAMC2,0.1899999999999999,5,"{'0': 716, '-1': 697, '1': 188, '3': 37, '2': 35}","{'-1': 19, '0': 6, '1': 3, '3': 2}","(0, 1)","{0: 6, 1: 3}",6.2471633369748325,3.200049766693556,9
PRSS22,0.2299999999999999,5,"{'0': 1012, '-1': 403, '1': 162, '2': 74, '3': 22}","{'-1': 13, '0': 10, '1': 4, '3': 3}","(0, 3)","{0: 10, 3: 3}",6.062719404973153,4.361843348301645,13
SCNN1A,0.1899999999999999,3,"{'0': 835, '-1': 583, '1': 255}","{'-1': 15, '0': 9, '1': 6}","(0, 1)","{0: 9, 1: 6}",5.839208086678202,2.2835010662523274,15
SCNN1A,0.1999999999999999,3,"{'0': 847, '-1': 552, '1': 274}","{'-1': 11, '1': 10, '0': 9}","(0, 1)","{0: 9, 1: 10}",5.784995822706426,2.13164717339078,19
SCNN1A,0.1799999999999999,4,"{'0': 814, '-1': 624, '1': 205, '2': 30}","{'-1': 16, '0': 9, '1': 4, '2': 1}","(0, 1)","{0: 9, 1: 4}",5.770735046951875,2.6443510260138026,13
SCNN1A,0.2099999999999999,3,"{'0': 872, '-1': 512, '1': 289}","{'-1': 11, '1': 10, '0': 9}","(0, 1)","{0: 9, 1: 10}",5.682996401808314,1.708593849889534,19
LAMC2,0.1999999999999999,4,"{'0': 736, '-1': 585, '1': 341, '2': 11}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",5.668048539395654,1.436487859150218,13
CDH3,0.2099999999999999,3,"{'0': 823, '-1': 620, '1': 230}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.640132955531128,2.404927471634003,12
LAMC2,0.2099999999999999,3,"{'0': 761, '-1': 544, '1': 368}","{'-1': 15, '1': 8, '0': 7}","(0, 1)","{0: 7, 1: 8}",5.63371361999949,1.2364100237013051,15
CDH3,0.2299999999999999,3,"{'0': 842, '-1': 508, '1': 323}","{'-1': 14, '1': 8, '0': 8}","(0, 1)","{0: 8, 1: 8}",5.599097898321555,1.9412243276376413,16
CDH3,0.2399999999999999,3,"{'0': 853, '-1': 478, '1': 342}","{'-1': 12, '1': 10, '0': 8}","(0, 1)","{0: 8, 1: 10}",5.58019421049279,1.7579615266581758,18
LAMC2,0.2199999999999999,3,"{'0': 772, '-1': 480, '1': 421}","{'-1': 15, '1': 8, '0': 7}","(0, 1)","{0: 7, 1: 8}",5.51998000492392,1.1026460485412977,15
CDH3,0.2199999999999999,3,"{'0': 828, '-1': 568, '1': 277}","{'-1': 17, '0': 8, '1': 5}","(0, 1)","{0: 8, 1: 5}",5.5195708037864435,2.3616742736801184,13
SCNN1A,0.2199999999999999,3,"{'0': 881, '-1': 461, '1': 331}","{'-1': 11, '1': 10, '0': 9}","(0, 1)","{0: 9, 1: 10}",5.514082746448263,1.1925264303794454,19
EHD2,0.1399999999999999,4,"{'-1': 1219, '0': 249, '1': 179, '2': 26}","{'-1': 23, '0': 4, '1': 3}","(0, 1)","{0: 4, 1: 3}",5.212671007059337,3.679717300345739,7
EHD2,0.1599999999999999,3,"{'-1': 997, '1': 386, '0': 290}","{'-1': 17, '1': 9, '0': 4}","(0, 1)","{0: 4, 1: 9}",5.205946096712577,3.0117329614660164,13
EHD2,0.1499999999999999,4,"{'-1': 1093, '1': 280, '0': 262, '2': 38}","{'-1': 18, '1': 8, '0': 4}","(0, 1)","{0: 4, 1: 8}",5.195152845835769,3.4205989729435435,12
PRSS22,0.2199999999999999,5,"{'0': 976, '-1': 498, '1': 142, '2': 38, '3': 19}","{'-1': 16, '0': 10, '1': 4}","(0, 1)","{0: 10, 1: 4}",5.146188206614585,3.022856613656843,14
PRSS22,0.2299999999999999,5,"{'0': 1012, '-1': 403, '1': 162, '2': 74, '3': 22}","{'-1': 13, '0': 10, '1': 4, '3': 3}","(0, 1)","{0: 10, 1: 4}",5.134293669138618,2.6713452378251477,14
PRSS22,0.2099999999999999,3,"{'0': 972, '-1': 581, '1': 120}","{'-1': 16, '0': 10, '1': 4}","(0, 1)","{0: 10, 1: 4}",5.0683386695352866,3.1787219496794714,14
CDH3,0.1999999999999999,4,"{'0': 813, '-1': 674, '1': 137, '2': 49}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.05178378356725,2.492138467716401,12
CDH3,0.1899999999999999,4,"{'0': 802, '-1': 721, '1': 120, '2': 30}","{'-1': 20, '0': 7, '1': 3}","(0, 1)","{0: 7, 1: 3}",5.044000053818988,2.61031807499805,10
EHD2,0.1799999999999999,3,"{'-1': 792, '1': 536, '0': 345}","{'-1': 14, '1': 11, '0': 5}","(0, 1)","{0: 5, 1: 11}",4.987307387270371,1.9660906652332784,16
