gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,tnbc_cluster_proportion
PTPN6,0.2199999999999999,3,"{'0': 643, '-1': 556, '1': 474}","{'0': 16, '-1': 9, '1': 5}","(0, 1)","{0: 16, 1: 5}",4.117407241954692,1.3229846273702384,0.5333333333333333
APOL1,0.1799999999999999,5,"{'-1': 1013, '1': 279, '2': 246, '0': 94, '3': 41}","{'-1': 15, '1': 6, '0': 4, '2': 4, '3': 1}","(0, 1)","{0: 4, 1: 6}",4.111847910372083,2.132028393683784,0.2
CD40,0.1999999999999999,5,"{'-1': 712, '0': 650, '1': 243, '2': 36, '3': 32}","{'0': 19, '-1': 8, '1': 3}","(0, 1)","{0: 19, 1: 3}",4.104798004448082,1.5585648106565488,0.6333333333333333
PTPN6,0.2299999999999999,3,"{'0': 673, '-1': 520, '1': 480}","{'0': 16, '-1': 9, '1': 5}","(0, 1)","{0: 16, 1: 5}",4.092591151666416,1.2669213279179536,0.5333333333333333
PTPN6,0.2399999999999999,3,"{'0': 700, '-1': 490, '1': 483}","{'0': 17, '-1': 8, '1': 5}","(0, 1)","{0: 17, 1: 5}",4.08725641210869,1.1337243597267412,0.5666666666666667
SLC2A3,0.1899999999999999,4,"{'-1': 856, '1': 390, '0': 382, '2': 45}","{'1': 13, '-1': 12, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 13}",4.07149675456146,1.0389356625469433,0.43333333333333335
MACROH2A2,0.1799999999999999,4,"{'-1': 788, '0': 431, '1': 429, '2': 25}","{'-1': 17, '1': 8, '0': 5}","(0, 1)","{0: 5, 1: 8}",4.070908152453823,1.71034384198696,0.26666666666666666
ICA1,0.1799999999999999,5,"{'-1': 939, '1': 384, '0': 209, '3': 75, '2': 66}","{'-1': 21, '1': 4, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 4}",4.051148633130771,1.9887852125040737,0.13333333333333333
NMU,0.1899999999999999,3,"{'-1': 837, '0': 622, '1': 214}","{'-1': 21, '1': 6, '0': 3}","(0, 1)","{0: 3, 1: 6}",4.051029349592928,1.3961166373816154,0.2
CD40,0.2099999999999999,5,"{'0': 670, '-1': 632, '1': 306, '2': 43, '3': 22}","{'0': 19, '-1': 7, '1': 3, '2': 1}","(0, 1)","{0: 19, 1: 3}",4.050838709981105,1.238593546570495,0.6333333333333333
SLC17A9,0.2499999999999999,3,"{'0': 876, '-1': 482, '1': 315}","{'0': 19, '-1': 8, '1': 3}","(0, 1)","{0: 19, 1: 3}",4.048111089055815,1.121213586969081,0.6333333333333333
CD40,0.2199999999999999,5,"{'0': 698, '-1': 580, '1': 329, '2': 49, '3': 17}","{'0': 20, '-1': 6, '1': 4}","(0, 1)","{0: 20, 1: 4}",4.025153176905702,1.0258091863496053,0.6666666666666666
ADGRG6,0.1999999999999999,5,"{'-1': 651, '0': 545, '1': 437, '2': 21, '3': 19}","{'-1': 15, '0': 11, '1': 3, '3': 1}","(0, 1)","{0: 11, 1: 3}",4.01990779599528,1.1501617466208822,0.36666666666666664
MACROH2A2,0.1899999999999999,3,"{'-1': 701, '1': 506, '0': 466}","{'-1': 13, '1': 11, '0': 6}","(0, 1)","{0: 6, 1: 11}",3.999287615687349,1.3080336532289822,0.36666666666666664
GRB10,0.1999999999999999,3,"{'0': 767, '-1': 708, '1': 198}","{'-1': 14, '0': 13, '1': 3}","(0, 1)","{0: 13, 1: 3}",3.980545882279909,1.2287006738046713,0.43333333333333335
