,Unnamed: 0,gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation
322639,866,PRSS22,0.2299999999999999,5,"{'0': 1012, '-1': 403, '1': 162, '2': 74, '3': 22}","{'-1': 13, '0': 10, '1': 4, '3': 3}","(0, 3)","{0: 10, 3: 3}",6.062719404973153,4.361843348301645
322647,874,PRSS22,0.2399999999999999,3,"{'0': 1021, '-1': 339, '1': 313}","{'0': 12, '1': 10, '-1': 8}","(0, 1)","{0: 12, 1: 10}",4.766034083043915,1.3846638502353246
322650,877,PRSS22,0.2499999999999999,3,"{'0': 1031, '1': 336, '-1': 306}","{'0': 12, '1': 10, '-1': 8}","(0, 1)","{0: 12, 1: 10}",4.804613543357273,1.3168212044542735
322653,880,PRSS22,0.2599999999999999,3,"{'0': 1036, '1': 350, '-1': 287}","{'1': 12, '0': 12, '-1': 6}","(0, 1)","{0: 12, 1: 12}",4.792792337207815,1.181771244290421
324784,3413,COPZ2,0.1599999999999999,5,"{'-1': 1084, '0': 365, '1': 119, '2': 71, '3': 34}","{'-1': 19, '0': 6, '2': 3, '1': 2}","(0, 2)","{0: 6, 2: 3}",3.1524416858647446,1.5952454739830169
324793,3422,COPZ2,0.1699999999999999,5,"{'-1': 991, '1': 381, '2': 143, '0': 93, '3': 65}","{'-1': 17, '1': 7, '2': 3, '0': 3}","(0, 1)","{0: 3, 1: 7}",3.127173598957352,1.5065012621529374
324797,3426,COPZ2,0.1699999999999999,5,"{'-1': 991, '1': 381, '2': 143, '0': 93, '3': 65}","{'-1': 17, '1': 7, '2': 3, '0': 3}","(1, 2)","{1: 7, 2: 3}",4.327011366263504,2.80647010446416
325698,189,ARHGEF5,0.1499999999999999,3,"{'-1': 995, '0': 364, '1': 314}","{'-1': 20, '0': 6, '1': 4}","(0, 1)","{0: 6, 1: 4}",3.921045916689588,2.4052031391742683
325701,192,ARHGEF5,0.1599999999999999,3,"{'-1': 933, '0': 376, '1': 364}","{'-1': 19, '0': 6, '1': 5}","(0, 1)","{0: 6, 1: 5}",3.897887124730536,2.276190415891297
325704,195,ARHGEF5,0.1699999999999999,4,"{'-1': 832, '1': 427, '0': 396, '2': 18}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",3.892121292037865,2.036758550010118
325710,201,ARHGEF5,0.1799999999999999,3,"{'-1': 773, '1': 469, '0': 431}","{'-1': 15, '1': 9, '0': 6}","(0, 1)","{0: 6, 1: 9}",3.9136802235846058,2.0182622063927287
325713,204,ARHGEF5,0.1899999999999999,4,"{'-1': 694, '1': 513, '0': 438, '2': 28}","{'-1': 12, '1': 11, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 11}",3.870088918603654,1.7921951148865984
325719,210,ARHGEF5,0.1999999999999999,4,"{'-1': 642, '1': 531, '0': 442, '2': 58}","{'1': 13, '-1': 10, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 13}",3.8622874299576417,1.7768743156028424
328099,2842,CYBA,0.2399999999999999,3,"{'0': 1056, '-1': 441, '1': 176}","{'0': 19, '-1': 7, '1': 4}","(0, 1)","{0: 19, 1: 4}",6.9603984132846115,2.837334079550474
328102,2845,CYBA,0.2499999999999999,4,"{'0': 1081, '-1': 384, '1': 188, '2': 20}","{'0': 19, '-1': 6, '1': 4, '2': 1}","(0, 1)","{0: 19, 1: 4}",6.906366017383745,2.292086083358437
328108,2851,CYBA,0.2599999999999999,3,"{'0': 1132, '-1': 340, '1': 201}","{'0': 20, '-1': 5, '1': 5}","(0, 1)","{0: 20, 1: 5}",6.806723371134011,1.6840569156538918
328111,2854,CYBA,0.2699999999999999,3,"{'0': 1144, '-1': 326, '1': 203}","{'0': 20, '-1': 5, '1': 5}","(0, 1)","{0: 20, 1: 5}",6.792316004594059,1.564174028050012
328114,2857,CYBA,0.2799999999999999,3,"{'0': 1169, '-1': 294, '1': 210}","{'0': 20, '-1': 5, '1': 5}","(0, 1)","{0: 20, 1: 5}",6.757294981157531,1.2259262750100093
